product_name,revenue,units_sold
Google Zip Hoodie F/C,13788.0,273
Google Crewneck Sweatshirt Navy,10714.0,236
Google Men's Tech Fleece Grey,9964.0,134
Google Badge Heavyweight Pullover Black,9702.0,201
Super G Unisex Joggers,9548.0,308
Google Crewneck Sweatshirt Green,8382.0,184
Google Sherpa Zip Hoodie Charcoal,6395.0,115
Google Men's Puff Jacket Black,6187.0,64
Google Men's Tech Fleece Vest Charcoal,5548.0,84
Google Women's Puff Jacket Black,5313.0,57
Google Canteen Bottle Black,5277.0,268
Google Utility BackPack,5256.0,53
Android Iconic Crewneck Sweatshirt,5159.0,113
Google Sherpa Zip Hoodie Navy,4897.0,87
Google Black Cloud Zip Hoodie,4677.0,83
Google F/C Longsleeve Charcoal,4548.0,180
Google Crewneck Sweatshirt Grey,4499.0,99
Google Navy Speckled Tee,4440.0,178
Google Red Speckled Tee,4428.0,177
Google Campus Bike,4352.0,131
